tic,filename,anomaly_score
24195690,tess2018206045859-s0001-0000000024195690-0120-s_lc.fits,0.0
8196285,tess2018206045859-s0001-0000000008196285-0120-s_lc.fits,0.0
8196058,tess2018206045859-s0001-0000000008196058-0120-s_lc.fits,0.0
8196324,tess2018206045859-s0001-0000000008196324-0120-s_lc.fits,0.0
8195886,tess2018206045859-s0001-0000000008195886-0120-s_lc.fits,0.0
24195569,tess2018206045859-s0001-0000000024195569-0120-s_lc.fits,0.0
8196173,tess2018206045859-s0001-0000000008196173-0120-s_lc.fits,0.0
8196402,tess2018206045859-s0001-0000000008196402-0120-s_lc.fits,0.0
24265684,tess2018206045859-s0001-0000000024265684-0120-s_lc.fits,0.0
24265755,tess2018206045859-s0001-0000000024265755-0120-s_lc.fits,0.0
24265859,tess2018206045859-s0001-0000000024265859-0120-s_lc.fits,0.0
24231627,tess2018206045859-s0001-0000000024231627-0120-s_lc.fits,0.0
24293836,tess2018206045859-s0001-0000000024293836-0120-s_lc.fits,0.0
24292848,tess2018206045859-s0001-0000000024292848-0120-s_lc.fits,0.0
24292625,tess2018206045859-s0001-0000000024292625-0120-s_lc.fits,0.0
24672008,tess2018206045859-s0001-0000000024672008-0120-s_lc.fits,0.0
24693383,tess2018206045859-s0001-0000000024693383-0120-s_lc.fits,0.0
24693528,tess2018206045859-s0001-0000000024693528-0120-s_lc.fits,0.0
24694579,tess2018206045859-s0001-0000000024694579-0120-s_lc.fits,0.0
24695725,tess2018206045859-s0001-0000000024695725-0120-s_lc.fits,0.0
24695161,tess2018206045859-s0001-0000000024695161-0120-s_lc.fits,0.0
24695711,tess2018206045859-s0001-0000000024695711-0120-s_lc.fits,0.0
24695017,tess2018206045859-s0001-0000000024695017-0120-s_lc.fits,0.0
24705587,tess2018206045859-s0001-0000000024705587-0120-s_lc.fits,0.0
24696180,tess2018206045859-s0001-0000000024696180-0120-s_lc.fits,0.0
24704388,tess2018206045859-s0001-0000000024704388-0120-s_lc.fits,0.0
24704868,tess2018206045859-s0001-0000000024704868-0120-s_lc.fits,0.0
24703650,tess2018206045859-s0001-0000000024703650-0120-s_lc.fits,0.0
24704862,tess2018206045859-s0001-0000000024704862-0120-s_lc.fits,0.0
24705529,tess2018206045859-s0001-0000000024705529-0120-s_lc.fits,0.0
24705603,tess2018206045859-s0001-0000000024705603-0120-s_lc.fits,0.0
24750548,tess2018206045859-s0001-0000000024750548-0120-s_lc.fits,0.0
24751068,tess2018206045859-s0001-0000000024751068-0120-s_lc.fits,0.0
24750489,tess2018206045859-s0001-0000000024750489-0120-s_lc.fits,0.0
24706359,tess2018206045859-s0001-0000000024706359-0120-s_lc.fits,0.0
25063296,tess2018206045859-s0001-0000000025063296-0120-s_lc.fits,0.0
24750295,tess2018206045859-s0001-0000000024750295-0120-s_lc.fits,0.0
24706893,tess2018206045859-s0001-0000000024706893-0120-s_lc.fits,0.0
24750915,tess2018206045859-s0001-0000000024750915-0120-s_lc.fits,0.0
24751264,tess2018206045859-s0001-0000000024751264-0120-s_lc.fits,0.0
