variant,n_transits,duration_hr,cadence_min,noise_ppm,n_total,n_anomalies,n_tois_total,n_tois_flagged,anomaly_rate,toi_recall,threshold_percent,n_thresholded,n_tois_thresholded,thresholded_toi_recall,thresholded_anomaly_rate
urf4_model_variant_n200_d27_c10_n200ppm_anomaly_scores_sector_2.csv,200,27,10,20,4000,1698,49,28,0.4245,0.5714285714285714,50,4000,49,1.0,1.0
urf4_model_variant_n300_d13_c2_n50ppm_anomaly_scores_sector_2.csv,300,13,2,5,4000,2287,49,38,0.57175,0.7755102040816326,50,2287,38,0.7755102040816326,0.57175
urf4_model_variant_n300_d27_c10_n200ppm_anomaly_scores_sector_2.csv,300,27,10,20,4000,2491,49,35,0.62275,0.7142857142857143,50,2376,33,0.673469387755102,0.594
urf4_model_variant_n100_d13_c10_n50ppm_anomaly_scores_sector_2.csv,100,13,10,5,4000,1693,49,22,0.42325,0.4489795918367347,50,4000,49,1.0,1.0
urf4_model_variant_n100_d13_c2_n200ppm_anomaly_scores_sector_2.csv,100,13,2,20,4000,1610,49,22,0.4025,0.4489795918367347,50,4000,49,1.0,1.0
urf4_model_variant_n200_d13_c2_n200ppm_anomaly_scores_sector_2.csv,200,13,2,20,4000,1331,49,21,0.33275,0.42857142857142855,50,4000,49,1.0,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2.csv,200,27,2,5,4000,1756,49,27,0.439,0.5510204081632653,50,4000,49,1.0,1.0
urf4_model_variant_n300_d27_c10_n50ppm_anomaly_scores_sector_2.csv,300,27,10,5,4000,2378,49,34,0.5945,0.6938775510204082,50,2194,34,0.6938775510204082,0.5485
urf4_model_variant_n100_d27_c2_n200ppm_anomaly_scores_sector_2.csv,100,27,2,20,4000,2338,49,31,0.5845,0.6326530612244898,50,2338,31,0.6326530612244898,0.5845
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2.csv,200,27,2,20,4000,2121,49,31,0.53025,0.6326530612244898,50,2042,31,0.6326530612244898,0.5105
urf4_model_variant_n200_d13_c10_n50ppm_anomaly_scores_sector_2.csv,200,13,10,5,4000,1783,49,25,0.44575,0.5102040816326531,50,4000,49,1.0,1.0
urf4_model_variant_n300_d13_c2_n100ppm_anomaly_scores_sector_2.csv,300,13,2,10,4000,1732,49,27,0.433,0.5510204081632653,50,4000,49,1.0,1.0
urf4_model_variant_n300_d27_c10_n100ppm_anomaly_scores_sector_2.csv,300,27,10,10,4000,2091,49,31,0.52275,0.6326530612244898,50,2002,31,0.6326530612244898,0.5005
urf4_model_variant_n100_d13_c10_n200ppm_anomaly_scores_sector_2.csv,100,13,10,20,4000,1524,49,23,0.381,0.46938775510204084,50,4000,49,1.0,1.0
urf4_model_variant_n100_d27_c10_n200ppm_anomaly_scores_sector_2.csv,100,27,10,20,4000,1685,49,27,0.42125,0.5510204081632653,50,4000,49,1.0,1.0
urf4_model_variant_n200_d27_c10_n50ppm_anomaly_scores_sector_2.csv,200,27,10,5,4000,3082,49,39,0.7705,0.7959183673469388,50,2016,27,0.5510204081632653,0.504
urf4_model_variant_n300_d13_c10_n200ppm_anomaly_scores_sector_2.csv,300,13,10,20,4000,1817,49,26,0.45425,0.5306122448979592,50,4000,49,1.0,1.0
urf4_model_variant_n100_d13_c2_n100ppm_anomaly_scores_sector_2.csv,100,13,2,10,4000,1422,49,23,0.3555,0.46938775510204084,50,4000,49,1.0,1.0
urf4_model_variant_n100_d13_c10_n100ppm_anomaly_scores_sector_2.csv,100,13,10,10,4000,1676,49,25,0.419,0.5102040816326531,50,4000,49,1.0,1.0
urf4_model_variant_n300_d27_c2_n200ppm_anomaly_scores_sector_2.csv,300,27,2,20,4000,2314,49,34,0.5785,0.6938775510204082,50,2135,34,0.6938775510204082,0.53375
urf4_model_variant_n300_d13_c2_n200ppm_anomaly_scores_sector_2.csv,300,13,2,20,4000,1903,49,32,0.47575,0.6530612244897959,50,4000,49,1.0,1.0
urf4_model_variant_n200_d27_c10_n100ppm_anomaly_scores_sector_2.csv,200,27,10,10,4000,3081,49,39,0.77025,0.7959183673469388,50,2262,31,0.6326530612244898,0.5655
urf4_model_variant_n200_d13_c10_n100ppm_anomaly_scores_sector_2.csv,200,13,10,10,4000,1185,49,20,0.29625,0.40816326530612246,50,4000,49,1.0,1.0
urf4_model_variant_n300_d27_c2_n50ppm_anomaly_scores_sector_2.csv,300,27,2,5,4000,2171,49,32,0.54275,0.6530612244897959,50,2027,31,0.6326530612244898,0.50675
urf4_model_variant_n100_d27_c10_n50ppm_anomaly_scores_sector_2.csv,100,27,10,5,4000,2412,49,33,0.603,0.673469387755102,50,2412,33,0.673469387755102,0.603
urf4_model_variant_n200_d13_c2_n100ppm_anomaly_scores_sector_2.csv,200,13,2,10,4000,1104,49,17,0.276,0.3469387755102041,50,4000,49,1.0,1.0
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2.csv,200,27,2,10,4000,2151,49,32,0.53775,0.6530612244897959,50,2004,31,0.6326530612244898,0.501
urf4_model_variant_n100_d27_c2_n50ppm_anomaly_scores_sector_2.csv,100,27,2,5,4000,2389,49,35,0.59725,0.7142857142857143,50,2389,35,0.7142857142857143,0.59725
urf4_model_variant_n100_d27_c2_n100ppm_anomaly_scores_sector_2.csv,100,27,2,10,4000,3030,49,42,0.7575,0.8571428571428571,50,2199,34,0.6938775510204082,0.54975
urf4_model_variant_n200_d13_c2_n50ppm_anomaly_scores_sector_2.csv,200,13,2,5,4000,1111,49,15,0.27775,0.30612244897959184,50,4000,49,1.0,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2.csv,300,13,10,10,4000,1948,49,26,0.487,0.5306122448979592,50,4000,49,1.0,1.0
urf4_model_variant_n100_d13_c2_n50ppm_anomaly_scores_sector_2.csv,100,13,2,5,4000,1844,49,22,0.461,0.4489795918367347,50,4000,49,1.0,1.0
urf4_model_variant_n300_d27_c2_n100ppm_anomaly_scores_sector_2.csv,300,27,2,10,4000,2432,49,29,0.608,0.5918367346938775,50,2432,29,0.5918367346938775,0.608
urf4_model_variant_n300_d13_c10_n50ppm_anomaly_scores_sector_2.csv,300,13,10,5,4000,1990,49,27,0.4975,0.5510204081632653,50,4000,49,1.0,1.0
urf4_model_variant_n200_d13_c10_n200ppm_anomaly_scores_sector_2.csv,200,13,10,20,4000,1886,49,28,0.4715,0.5714285714285714,50,4000,49,1.0,1.0
urf4_model_variant_n100_d27_c10_n100ppm_anomaly_scores_sector_2.csv,100,27,10,10,4000,2446,49,34,0.6115,0.6938775510204082,50,2135,31,0.6326530612244898,0.53375
